Quote,Author
"When I was 23, I climbed this mountain in Alaska called Devil's Thumb alone. It was incredibly dangerous, and I did it because I thought that if I did something that hard and pulled it off, my life was gonna be transformed. And of course, nothing happened. But I get the search for purpose.",Jon Krakauer
"I have to say that it was working with my grandpa, who grew up on a farm in Mountain Home, Idaho, that had the most influence. Witnessing his work ethic and hearing his stories gave me an appreciation for the farm's best lessons.",John Bytheway
"Who actually enjoys skiing? Come on, even Olympic ski masters, even James Bond, think that dressing up in all that fluorescent, insulated kit and having to manoeuvre down a mountain in the freezing cold is no way to spend leisure time.",Claudia Winkleman
"If you cannot understand that there is something in man which responds to the challenge of this mountain and goes out to meet it, that the struggle is the struggle of life itself upward and forever upward, then you won't see why we go.",Edmund Hillary
"Don't get me wrong, I think bikes are terrific. I own several of my own, including a trendy mountain style, and ride them for pleasure and light exercise.",Brock Yates
"The equality of men and women is not possible because both are different. A mountain is a mountain, and a river is a river.",Sanjay Leela Bhansali
"I don't want to make that sound like I'm preaching from a mountain top when I say you have to give your family everything, because I know it's hard for people. I'm lucky to be in a position where you can establish those ground rules and make it that way.",Tim McGraw
I wouldn't recommend people to go up and ride their road bikes in Kenya. Bikes are not meant to be on the roads. But the mountain biking is fantastic. You can go right up into the tea and coffee plantations up in the highlands. You can descend the great Rift Valley.,Chris Froome
"Yucca Mountain isn't pretty. And it also isn't large. From far away, the mountain's just a squat bulge in the middle of the desert, essentially just debris from a bigger, stronger mountain that erupted millions of years ago and hurled its broken pieces into piles across the earth.",John D'Agata
"The mountain gorilla faces grave danger of extinction - primarily because of the encroachments of native man upon its habitat - and neglect by civilized man, who does not conscientiously protect even the limited areas now allotted for the gorilla's survival.",Dian Fossey
There's a sense of sovereignty that comes from life on a mountain.,Tara Westover
"I was just sitting on my bed in a dormitory room, and I started writing. The thing that was magic about it was that once you put down one word, you could cross it out. I figured that out right away. I put down 'mountain,' and then I'd go, 'No - 'valley.' That's better.'",James Tate
"The Humpback Trail on New Zealand's South Island is really beautiful. It is a 70 km walk over about four days and is fairly arduous. You go through prehistoric forest and up to the top of Humpback Mountain, where there are amazing views down to the Tasman Sea.",Toby Stephens
"Down below the broad, roaring waves of the sea break against the deep foundation of the rock. But high above the mountain, the sea, and the peaks of rock the eternal ornamentation blooms silently from the dark depths of the universe.",Rudolf Otto
"The first 600 miles of the Pacific Crest Trail, before you get into the Sierra Nevada mountain range, is heavy on desert. One of the things I carry with me in the desert is an umbrella. People think that's insane. It has a shiny top to it, so it looks totally ridiculous, but the difference can be 20 degrees.",Jay Duplass
I like being near the top of a mountain. One can't get lost here.,Wislawa Szymborska
"I was king of the mountain for a long time, well, I don't want that no more. I like to perform every once in a while for people who want to see me, and cut albums of music that is what I'm really about.",Waylon Jennings
"I suppose that every time there is difficulty. I remember about Space Mountain: It took us ten years before we found the technology that would allow such a ride. And during these ten years, I had a model that I kept, waiting for the technology we needed.",John Hench
"I grew up on the South Island of New Zealand, in a city chosen and beloved by my parents for its proximity to the mountains - Christchurch is two hours distant from the worn saddle of Arthur's Pass, the mountain village that was and is my father's spiritual touchstone, his chapel and cathedral in the wild.",Eleanor Catton
I always sit in the back of a plane. It's much safer. You never hear of a plane backing into a mountain!,Tommy Cooper
"Sometimes, if you wander long enough out-of-doors, you look up and find yourself in a suddenly devastating place: on a glittering slab of granite, say, hanging a thousand feet above a mountain lake.",Anthony Doerr
"There, the grand lines of mountain and sea are admirable, and apart from the exotic vegetation that is here, Monte Carlo is certainly the most beautiful spot of the entire coast: the motifs there are more complete, more picturelike, and consequently easier to execute.",Claude Monet
"When I am about to have a difficult project, I dream I am climbing a mountain. When everything is going fine, I dream I am going down the mountain.",Eric Ripert
"Steichen bought my first photographs that I ever sold. He recognized the style from the school of Black Mountain. After that, it was about twenty years before I sold another photograph.",Robert Rauschenberg
"Every day seems to bring news about another for-profit college scam. Hundreds of thousands of students have been deceived, misled, and harassed into enrolling at these schools where they end up with a mountain of debt and a worthless degree.",Dick Durbin
I live in Wellington now but I love going back to the farm where all you can hear are the cows or the sea crashing in about a kilometre away. Our uncle's farm is on the beach and we are one up from that towards the mountain.,Beauden Barrett
I know there's some kind of history to mountain music-like it came from Ireland or England or Scotland and we kept up the tradition.,Loretta Lynn
"This is a beautiful country. Each of us has a favorite river, a mountain, just a patch of sky for some of us. I want to use the law to make sure that the waters, the land, and the skies of this nation are protected.",Janet Reno
"I do heavy weight deadlift squats, shoulder presses, push-ups, and I can pull up my own body weight. And I do an ab workout just about every night. It's 200 reps of five different exercises four times right before bed: a plank with hip twists, side bridge dips, a walking mountain climber, bicycles and leg lift.",Shalita Grant
"More than ever, a college diploma unlocks economic opportunity, provides students with a wealth of new skills and knowledge, and encourages innovation and growth. But more than ever, it also comes with a mountain of student loan debt.",Mark Pocan
"Mount Tamalpais became my house. For Cezanne, Sainte-Victoire was no longer a mountain. It was an absolute. It was painting.",Etel Adnan
"I think whenever you get out and do something different, like mountain biking or surfing, it just makes you more aware of your body and balance. For me, I've always loved anything that involved sports, so I've always just tried different things.",Gretchen Bleiler
"I think, every time I'm on the mountain, I'm just so thankful to be there.",Chloe Kim
"Mountain biking is such a very small community. I just want to put the hard work in so people don't think I'm a slacker. I want the hardcore mountain bikers to respect, 'Okay, well, he did it the right way.'",Reggie Miller
"Once I climbed into a mountain lion's cage and she bounded at me and put her paw on my face, but she kept her claws withdrawn.",Edward Hoagland
"If I was lying on the side of the mountain, dying, would I have any regrets? Yeah. I would regret not making films.",Jim Sarbh
Every film has its ups and downs. Each time it seems like pushing a boat over a mountain. I worked on 'The Lovely Bones' for five years before my involvement fell apart.,Lynne Ramsay
"What is important to me as an actor is that, even if I have to spread my arms, take my shirt off on a mountain top with my heroine in a chiffon sari, it still has to be me and my twist or my funny take on it.",Vir Das
The Buddha resides as comfortably in the circuits of a digital computer or the gears of a cycle transmission as he does at the top of a mountain.,Robert M. Pirsig
"Deep in the heart of Kentucky's rugged Eastern Mountain region, there lives a woman who has fascinated and inspired me for two decades. She is known locally these days as 'Mayor Nan' - the octogenarian chief executive of Hazard and advocate for its 5,467 residents.",Elaine Chao
I grew up in a tiny village on top of a mountain and have been skiing and singing all my life!,Astrid S
"I love England though; I've been back a few times and just love it. My favorite thing to do there is going to museums and all the castles. Oh, and my husband and I went mountain biking across England on our honeymoon!",Catherine Bell
"While in high school, I worked part time at Subway, then at the front desk of the local YMCA, then at a tennis club, until I landed an unpaid internship at 'The Mountain View Voice,' my hometown newspaper.",Jose Antonio Vargas
"All I can say is that you only realize how big your mountain is once you're laying motionless, helpless, and hopeless in the valley below. No one goes there on purpose, if you get what I'm saying, because the only way to find your personal low is to slip and roll down that mountain of yours, straight through to the bottom, no holds barred.",Artie Lange
"We spent a few days up Ben Nevis, which is the biggest mountain in the U.K., and there was one day when we had to make a decision whether we were going to go to the summit or not. It was already getting dark, but we made the call to go and made the summit, but as soon as we got there, this blizzard just hit.",Martin Henderson
"Marty Robbins once sang you give me a mountain, I've been given a few mountains in my life.",David Allan Coe
"That's the beauty of creativity. It comes from the ether. I like to think, sometimes, it's like I haven't written it, it's more like I just reached up and grabbed it from somewhere. That song, 'Song of the Red Rock Mountain,' is one of them. I recorded it and thought, 'Where did that come from?'",Alvin Lee
I love kite surfing and mountain bike riding. It's kind of interesting; my kite surfing ability has probably deteriorated with the rate of Kaggle's success.,Anthony Goldbloom
'Brokeback Mountain' just blew me away. I'll always remember talking to Heath Ledger just after he finished that movie and he was going on about working with Ang and how incredible he was.,Emile Hirsch
"A few days after 9/11, I put the old cassette of 'Born in the U.S.A.,' twisted and worn, on the car deck as I drove past West Point, across the Bear Mountain Bridge, along the Hudson River. It was the perfect moment to hear it.",David Means
"I think I'd want Tommen'to fight the Hound! And the Mountain! The Hound and the Mountain on one side, and Tommen on the other side. That would be so sick. Tommen would smash it!",Dean-Charles Chapman
"I once asked a hermit in Italy how he could venture to live alone, in a single cottage, on the top of a mountain, a mile from any habitation? He replied, that Providence was his next-door neighbor.",Laurence Sterne
"Every problem seems like a mountain to me, and when I'm fit, I feel like I can conquer anything. When the opposite happens, I go into a funk. A real, real funk.",Ranveer Singh
I don't like Las Vegas. I'd rather be mountain biking or climbing.,Greg Brenneman
"Rwanda is a landlocked country, but it hasn't stopped developing. They built a high-end tourism industry around the mountain gorillas.",Robert Zoellick
,
"We have a lion, tiger, liger, which is the father is a lion and the mother is a tiger, black and spotted leopard, mountain lion, Asian leopard cats. Weve got a tremendous number of the exotic feline.",Tippi Hedren
Mountain hikes instilled in me a life-long urge to get to the top of any inviting summit or peak.,Paul D. Boyer
"'Climb Every Mountain' is a beautiful statement of philosophy. Critics may think 'The Sound of Music' is saccharine, but I think it's profound. The message, that we can't accommodate evil, is just as important today.",Jon Voight
"My first book was called, 'Mountain, Get Out of My Way,' where I did an autobiographical sketch, if you will, looking back at myself and looking back at things in my life, and juxtaposing them against things that are happening in other people's lives and trying to be motivational.",Montel Williams
"When I was around 15, I did my first movie. I was at a kids' agency, and the third time I was invited to an audition, they offered me a little part in some kiddie thing, and I earned my first money. I was very proud that I could buy my first mountain bike with my own money.",Daniel Bruhl
"I grew up in eastern Kentucky, and we would sing in the churches, and there's lots of good mountain church singers out there. Like a lot of folks who turn out to be secular music artists, that's a lot of the training you put in, whether you know it or not.",Chris Stapleton
"I love all music, but when I am on the mountain, I listen to a lot of Nas, Drake, 2 Pac, etc.",Jamie Anderson
I was 46 when 'Cold Mountain' came out. I was settled. We had a nice house in Raleigh and a horse farm.,Charles Frazier
George Harrison wanted to play the thief in 'Holy Mountain.',Alejandro Jodorowsky
"I don't really go mountain biking per se, like a proper sport.",Chris Cornell
"Tinder in the Olympic Village is next level. It's all athletes! In the mountain village, it's all athletes. It's hilarious.",Jamie Anderson
"We were empty nesters, our last-born child having departed for Duke. Meredith decided we needed a dog to fill the vacuum. She heard about a litter in Colorado sired by Chopper, the legendary avalanche dog at the top of Aspen Mountain.",Tom Brokaw
Everybody has to choose his or her own way to climb a mountain. I don't give an opinion. But there needs to be enough room for others.,Ueli Steck
The government cannot enforce its mountain of laws and regulations without voluntary compliance.,Charles Murray
"People are starting to know more about it, but I was blown away by Almaty, Kazakhstan. It's like a future Swiss Alps. It has the potential to be an extraordinary ski resort. It is a city with beautiful mountain scapes.",Lisa Ling
"Startups, in some sense, have gotten so easy to start that we are confusing two things. And what we are confusing, often, is, 'How far can you get in your first day of travel?' with, 'How long it is going to take to get up to the top of the mountain?'",Mitch Kapor
"If I see a mountain, I just pick up and hike it.",Aurora
"Among all researchers who have worked in the African field, I consider myself one of the most fortunate because of the privilege of having been able to study the mountain gorilla.",Dian Fossey
"Any time, as an athlete, you taste victory, you taste the top of the mountain, you want to get there again.",Dell Curry
The American people are tired of being told. They're tired of being told that this is as good as it gets. They're tired of hearing politicians in both parties tell us that we'll get to that tomorrow while we pile a mountain range of debt on our children and our grandchildren.,Mike Pence
I'm excited to join the Mountain Dew snowboarding team.,Red Gerard
I was making a film called The White Tower at the foot of Mont Blanc - the one thing I learned from that experience was that it's more difficult to go down a mountain than to go up. A lot of people don't realize that.,Glenn Ford
"Each era has the fatal hubris to believe that it has once and for all climbed to the top of the mountain and can see everything as it is, from the highest and most objective vantage point possible.",Eric Metaxas
"I think one of the worst notes I think I've ever received was Ang Lee on 'Brokeback Mountain.' He came in on coverage, and he was like, 'More, more handsome.' I was like, 'I'll try that.'",David Harbour
"A mountain of evidence shows that our bodies are pushing, shaping, even leading our thoughts, feelings, and behaviors. That the body affects the mind is, it's fair to say, incontestable. And it's doing so in ways that either facilitate or impede our ability to bring our authentic best selves to our biggest challenges.",Amy Cuddy
